,rate,date,review
11,1,"Nov 29, 2025",Dragged on forever many people left the theater wished I did as well would not recommend this movie
12,10,"Nov 23, 2025","Cons: Literally none.

Pros: Somehow this movie is better than the first Avatar movie. That is quite a feat to pull off considering how groundbreaking the first one was. In this movie, Jake and Neytiri sort of take a backseat as their 4 children are introduced and lead most of the story. But I'm not complaining, getting to know the Sully family is such a treat. Also, a new area of Pandora is introduced and thoroughly explored as the Sully family moves in with a tribe of water Na'vi. The end of this movie is probably one of my favorite action sequences of all time. Jake and Neytiri vs. Colonel Miles Quaritch and his soldiers is an epic fight for the books. Overall, this sequel to Avatar lives up to its predecessor by expanding the world of Pandora and the Sully family as well as building up the antagonist threat. I honestly can't wait for the next installment. It will be worth the wait."
13,7,"Nov 15, 2025","Avatar: The Way of Water sits at a 7/10 for me. It’s undeniably beautiful — every underwater scene looks insane, like you’re actually swimming in another world — but once you get past the visuals, the story feels pretty **** whole move to the reef tribe is interesting at first. Watching Jake’s family learn the water ways, especially the kids struggling to fit in, gave the movie some heart. Lo’ak bonding with the outcast tulkun was one of the better emotional threads, and it actually felt like a real coming-of-age **** the villain plot? Pretty much the same as the first film. Quaritch coming back as a Na’vi avatar is wild on paper, but the movie doesn’t do much with it besides chasing Jake around again. The final act — the ship sinking, the family trying to escape in the dark — is easily the best part, though. It finally brings actual tension, and seeing Neteyam die adds a real emotional hit the first movie never quite **** the end, Jake deciding to stay and fight instead of running sets up the next sequel, but the story overall still feels like a bridge rather than something ****’s stunning, immersive, and fun to watch — just not emotionally deep enough to be great."
14,8,"Nov 12, 2025","It seemed impossible to surpass its predecessor after its tremendous impact.

The first thing that stands out in 'Avatar: The Way of Water' is its impeccable visual display. James Cameron once again demonstrates his undeniable mastery in the use of light and color. The application of both is exquisite: every frame seems meticulously designed to highlight the beauty of Pandora. It’s a visual spectacle that is as appealing as it is carefully crafted, with an art direction that reaffirms the technical perfectionism characteristic of the filmmaker.

In this sequel, the visual approach seeks to continue — or even surpass — the achievement of its predecessor. However, there is a certain irony in its execution: despite the hyperrealism achieved, the 3D models paradoxically feel more artificial than in the first film. The animation technology is impressive, especially thanks to the use of the <>, but that extreme digital precision can generate a slight sense of falseness at times. Nevertheless, the technical quality is undeniable, and the animation, overall, borders on outstanding.

Narratively, the film follows a parallel path to the first installment. Its structure and development inevitably recall the original, though it incorporates the necessary elements to distinguish itself. The inclusion of Jake Sully’s children constitutes the main emotional and narrative driving force of this sequel. This decision reconfigures the roles: the protagonist of the first film now takes on a more paternal position, giving part of the spotlight to his offspring, who bring freshness and dynamism to the story. The new characters display charisma, strength, and a convincing chemistry that strengthens the family core of the plot.

The aquatic element is, without a doubt, the great innovation. Far from being a mere change of scenery, water becomes an essential component of the narrative and the visual identity of the film. Although it might initially seem repetitive or excessive, Cameron, along with Rick Jaffa and Amanda Silver, manages to incorporate it with subtlety and coherence. The transition between the jungle and marine environments maintains the essence of Pandora while naturally expanding its universe.

The story, while not revolutionary, maintains constant interest. It is even more entertaining than the previous one, despite its extended runtime. It’s true that some sequences could have been condensed, but the balance between pacing, emotion, and spectacle is skillfully preserved. The length — over three hours — can feel a bit excessive at first, but as the plot progresses, the viewer becomes immersed in the atmosphere and loses track of time. The music accompanies so precisely that it’s barely perceived consciously, yet its presence is essential in reinforcing the emotional tone.

Overall, 'Avatar: The Way of Water' is a technically exquisite and narratively satisfying work. It’s not the best movie in the world, nor does it try to be, but it represents a natural and coherent evolution within the 'Avatar' universe. Its greatest achievement lies in its focus on the Sully family, especially the children, who bring renewed energy. For me, this sequel not only lives up to the original but surpasses it in several aspects, solidifying Cameron as a visual storyteller who continues to push the boundaries of contemporary cinema."
15,9,"Nov 9, 2025","Watching this on the big screen makes an enormous difference. I remember switching off halfway through on my first watch, because I felt thats some aspects of the writing were too trite. 

Second time, on a theater screen, I went away with joy at a movie that's not only visually excellent (and you'll need a giant image to appreciate just how much so), but also well written.

Several scenes subvert expectations, and the movie relates the story similarly to how a documentary would be filmed. The overly dramatic ""this is just how story symbology goes"" of contemporary movies is replaced by ""watch what happens"""
16,9,"Dec 16, 2024","When we look back the greatest sequels in cinema history those that come to mind is an exclusive club including The Godfather Part II, The Empire Strikes Back, The Lord of the Rings: The Two Towers, The Dark Knight, Top Gun: Maverick and of course Avatar: The Way of Water."
17,10,"Sep 21, 2025","More than a wonderful film, absolute finema, the story is incredible, the characters are very charismatic, their development is very good, breathtaking action scenes, and not to mention the otherworldly visuals."
18,6,"Aug 6, 2025","Could be far better, why using the old antagonist again. It's like nonsense for me right now, will see if the next parts are going to give me a good answer to that."
19,4,"Jul 17, 2025","A sandwich of adventure, but with a middle part that drags on forever with pure scholck. Some really silly 'what-it-means-to-be-man' script elements, especially in that middle part. We got kids daring other kids which leads to trouble, we got the mouse and the lion, etc. The adventure part as well is also just a rehash of the first movie, basically the same plot/story told over again. There are some unintentional comedic moments, like when a whale interacts with the characters, it's just this giant eyeball looking at people. 

Once again, the visuals are the only thing that make it worth watching, but yeah, you can skip the entire middle part and not really miss anything."
20,9,"Apr 27, 2025","James Cameron's nearly two-decade long franchise is back. Bolstering intoxicating special effects, realized characters, fantastic performances, thrilling action, and a somewhat familiar, story Avatar: The Way of Water is Cameron's best work yet. Just don't make me wait another thirteen years for the next one!"
21,9,"Mar 23, 2025","The visual was breathtaking, water being the main part of the film is unexpected and worth a rewatch despite the running time being just over 3 hours. Soundtrack hits the spot, immersing me even more into it.

Definitely suffered from Post-Avatar Depression Syndrome."
22,8,"Mar 6, 2025","It pays to be a sequel (like the recycled enemies and a story that is proposed as a continuation of the previous film that seemed finished) but it is pleasant. Fantastic setting, well-defined characters both in their role in the story and in the empathy towards them. The film lasts a long time but in a positive way. It's a film that leaves you feeling nostalgic at the end of having experienced a long and beautiful journey."
23,2,"Feb 24, 2025","Finally watching the movie, and just the fact that I'm writing this about halfway through is enough to tell how bored I have been. Yes, it looks great, but it also lacks any kind of interesting storytelling. Happy I didn't pay for a movie ticket, as I've never walked out of a theater. Now I can just click stop and maybe watch the rest of it at some point, if I find hating me hating myself enough."
24,10,"Feb 12, 2025","This was really great. gREAT , GREAT GREAT. EFEECTS, THE CG WAS AWESOME, EMOTION...."
25,4,"Jan 20, 2025",Filmi gereksiz yere iki kat uzatmışlar. Bunca yıl sonra -illa ki beklentilerde arttı- çıkan bir yapım bu kadar kötü olmamalıydı. Bence ortalama ve altı bir yapım. Vaktinize yazık.
26,3,"Nov 14, 2024","An uninspired copy of the first film. The story is like-for-like the same. The water visuals are great, but at the end of the day, it's just water. At 3 hours long, this movie really overstays its welcome."
27,3,"Aug 19, 2024","i liked the first one when i saw it in theaters on release, it’s not the most interesting story-wise, but it was very imaginative and the visuals were simply stunning for the time. however, it seems like they expected the same thing to work again? the film climate is very different these days, and most people are actually getting bored of over the top cgi. this movie has a shallow story, uninteresting characters. and awkward acting, all even more so than the first one. i don’t know how they plan on making a larger franchise of this…it’s only popular because it’s nostalgia bait."
28,0,"Jun 20, 2024","A story thinner than the moon's athmosphere, characters as interesting as week-old bread, some pretty but boring vistas and final proof of creative bankruptcy of a formerly well-respected director."
29,8,"May 24, 2024","A beautiful magical spectacle full of eye candy special effects for sure. All the characters motivations kind of make sense in the story. It didn't quite get me in the feels like the first movie. I was more than pleasantly entertained. Considering the runtime this went by so fast for sure. That old saying ""time seems to go faster when you are having fun"". Looking forward to the continuation of the story for sure."
30,6,"Apr 5, 2024","My rating 6/10.
There were moments that were great and fun however I didn't really like the first half of the movie especially the introduction where the narration I found was a bit boring and lame at times. I know the story of first movie but the screenplay in many parts of the movie wasn't as good and some parts of the movie which 60 FPS weren't that engaging for me. The underwater shots were really amazing and the underwater moments were great and fun at times however overall the movie wasn't up to the mark for me. The bgm was re-used from the previous film and didn't feel much emotions like the first one. Overall an ok film for me."
31,9,"Mar 10, 2024","Avatar: The Way of Water is an epic, epic larger than life wholesomely emotional masterpiece with an anticlimactic ending that pulls, immerses and is narratively superb with the humane storytelling of the hurdles of parenthood and family in the world of moon planet Pandora in which its events are supernaturally regally unparalleled."
32,7,"Mar 2, 2024","To the story part, I'm going to ignore a bit. But for tech it got, action and lore, go to the limit. Love the franchise, looking forward to see more"
33,2,"Feb 15, 2024","Avatar: The way of Filler, by a way of cringe
even in a good tv series, sometimes you start getting filler episodes, and  in series you can sometimes survive them ok.
when the whole movie in a movie looks like a filler episode - it is NOT ok at all.
the worst about this one - its secondary nature; and nothing feels more secondary in this avatar than everything new that was not in the first movie. 
i can imagine a target audience as kids, because for me, an adult who loved the first movie, watching this was simply painful experience."
34,7,"Jan 29, 2024","Hands down, one of the best adventure family movies of the last few years. Cameron did a spectacular job of expanding the stories from Pandora... cinematics is incredible..  acting could be slightly better (feels a bit empty on the expressions side); also, the main story is a bit superficial and simple... other than that, overall a very good experience watching the flick."
35,6,"Dec 29, 2023","Se queda muy corta comparada con su precuela; es una película predecible y es prácticamente ver Avatar 1 pero ambientada en el agua. No obstante, es injusto reducir la película a eso, tiene efectos espectaculares y esta sumamente bien producida. Es, en mi opinión, una secuela innecesaria."
36,10,"Dec 25, 2023","Movie of millions :D 
the movie is worth seeing ..it's a pity that it takes a long time until the 3rd 4th 5th"
37,9,"Dec 17, 2023",My eyes were glued to the screen/projection. JC never miss. With stunning visuals and world building I'mhyped for part 3.
38,8,"Dec 13, 2023","While the film is ultimately a rehash of the first and a setup for the third, I have to admit that I was caught up in the spectacle of it all. Movies this beautiful are a pleasure to watch, even though reflecting on it reminds me of how shallow it was. The chills I had in the theater give me the desire to watch the rest of this series as it goes on."
39,7,"Dec 9, 2023","Well worth the wait. The visuals and action are just as impressive as the first, but the story is certainly less engaging."
40,5,"Dec 7, 2023",Meh. The Movie feels in many moments like it repeats the story from the first movie.
41,3,"Dec 7, 2023","Beautiful, especially in 3D.  Lots of action scenes.  Surprisingly dull.
The story is so thin and recycled for such a long film.  The action scenes feel like cartoons silliness, not an exciting live action movie.
If you are a fan of James Cameron and the first Avatar movie you might have the feeling that you are watching a movie that was created from deleted scenes of the Avatar 1 and CG altered scenes of his other films.  Most notable were beats from Titanic and The Abyss.
Disappointing after waiting all these years for a second film."
42,1,"Nov 14, 2023","Cut one hour and 30 minutes and I am in. Way too long for such a plain story.

This movie forgot that STORY IS KING"
43,2,"Nov 8, 2023",I don’t get how they could spend so much money and time on a project and have such a bad story line. It makes no sense.
44,0,"Nov 6, 2023","Why did they kill off the shark? It had the potential to be a really cool character, possibly even the next protagonist. Also, the movie should’ve been called “Avatar 2: The Wark of the shark”, after the real and most important character. They should’ve also acknowledged Chester Loud’s amazing OSTs"
45,5,"Nov 3, 2023","Visually, it's stunning. Storywise, it leaves a lot to be desired."
46,10,"Oct 28, 2023",Un chef-d'œuvre !
47,9,"Oct 27, 2023","IN A NUTSHELL:
It’s been 13 years since we all fell in love with the magical land of Pandora.  Is the sequel worth watching?  In a word, YES!  In this story, Jake Sully lives with his wife and children on Pandora.  Here is the description of the story from the studio: Once a familiar threat returns to finish what was previously started in the last film, Jake must work with Neytiri and the army of the Na’avi race to protect their home.  

THINGS I LIKED:
I had the great pleasure of attending a press screening last night.  A free movie ticket is always nice, but I also got free popcorn and one of those reclining seats that lift your legs like a Lay-Z-Boy chair.  So nice!
All of the planned Avatar movies together are expected to cost over $1 billion.  Rumor has it that they’re being filmed back-to-back so that we don’t have to wait as long this time!  James Cameron is currently saying there will be three Avatar movies.
The special effects are UNBELIEVABLE.  Stunning!  Gorgeous!  Incredible!  This absolutely must be seen on the biggest screen can you find or afford.  IMAX with 3D!  Everything is bigger than life, yet the smallest tear is so detailed and emotionally powerful.
Critics and audiences have already been tossing around the word “experience” and I absolutely agree.  This isn’t just a movie but an experience.  It’s probably the most immersive movie I’ve ever seen.  You FEEL like you’re in Pandora.  You can practically feel the water on your skin and wind in your hair.  With my 3D glasses on, I honestly thought for a second that I was going to get wet during the rain scenes!  When the huge creatures or watercraft fall down, you FEEL the heft of their weight and power.  I remember after the first Avatar movie came out that people were watching it over and over until they became depressed that they had to live in our world and not on Pandora.  Yes, that was an actual thing!  A dear friend of mine became so obsessed with Avatar that he began blogging and posting so many comments on Disney’s forum that the company took notice and later invited him to become a Disney Imagineer.  True story!
There has been a lot of talk about the frame rate that was utilized in the making of the movie.  The industry standard is 24 frames per second.  I got to see the movie in 3D which was really immersive and awesome.  James Cameron decided that only certain scenes would use the HFR technology.
Kate Winslet did all of her own underwater stunts herself.  She broke Tom Cruise’s record for filming underwater at 7 minutes and 14 seconds.
The musical score was composed by Simon Franglen after James Horner’s death in 2015.
So much action.
I love that the forest Na’avi look just a little bit different from the water Na’avi so you can tell who is who.  Plus, it shows a type of evolution in the species that is fascinating.
The imagination and creativity of the designs are ridiculously impressive.  I heard someone say how amazing it was that actual humans thought of all of these creative things in the movie!
I was worried about a movie that would take over 3 hours, but I admit that the time went by super fast.
We all know Director James Cameron does an outstanding job creating epic moments whose scale is massive and mind-boggling, but he equally zooms into a tiny detail like a close-up of people holding hands that gives you all the feels in a grand and intimate way.
Everything looks so real and seamless between the humans and the other creatures that share space on Pandora.  You instantly believe it all.  

THINGS I DIDN’T LIKE:
I admit I was surprised that the director would basically rehash the same story from the first movie.  The villain is the same.  The learning curve is the same.  The bullying element is the same.  Some of the same characters from the first movie come back again even though they had died.  What’s so wrong with adding new characters to the story?  I wouldn’t have minded that a bit.  I understand though.  There were certain plot points that the director wanted to make.
There isn’t as much humor in the sequel as there was in the original Avatar movie.
NO SPOILERS:  Some characters were indistinguishable from others.
That sweeping musical score from the first Avatar just didn’t come back in full force like it did in the first movie.
There is a birth that simply has no explanation.  Will it be explained in the next sequel?
We don’t quite understand why the humans make the choices they do.  You’re embarrassed to be a human by the end of the movie, just like in the first movie.  I assume we’re going to get more information in future sequels.
As beautiful as the movie is, I thought the poster didn’t capture its essence at all.  

TIPS FOR PARENTS:    
Partial nudity
Strong violence with various weapons   (some with blood)
Profanity, including 1 F-bomb
Intense action
People and creatures die
Men hunt and kill creatures
Destruction
We see a bloodied arm rip in half"
48,7,"Oct 12, 2023","Consciousness is a good matter to be learned. Protect each other, just before we meet the enemies"
49,4,"Sep 20, 2023","The original was a great film and birthed here is the progeny **** night out with the original and The Brady Bunch. That a better story for part 2 could not have been hashed out, especially considering the budget, is at best lamentable. The original stood out because silliness was pushed aside as there was a foundation of story to the film which is glaringly obvious in this instalment of over 3 hours.

And the grand fight finale, packed with silliness. If the real colonel died in the original how does he have an avatar? (well of course he doesn't it's just milking a stand out movie by a bankrupt creative team) and then my favourite is choking the colonel under water, needless to say that is hardly necessary as you will choke (drown) under water without anyone blocking your airway. To think that is all you could come up with for a second instalment just speaks volumes for the levels of talent of those charged with creating entertainment."
50,3,"Sep 19, 2023","I wasn’t a fan of the first film beyond the cgi that was at the time very beautiful and novel. This is yet another gross amalgamation of cherry picked qualities and generalizations of indigenous cultures. It’s Dances with Wolves,Pocahontas, and Fern Gulley rolled into one un-fun “adventure.” This seems like the type of film Lefties will love and feel empowered by the whole drive home in their SUV."
51,7,"Sep 7, 2023","um excelente filme, mas inferior ao primeiro em quase todos os aspectos...."
52,10,"Sep 7, 2023","This is my favorite movie of all time. So yes, I'm probably pretty biased here. Let's start with the visuals: They are perfect. Just perfect. See it in Imax. I'm not a fan of 3D, but see it in 3D. You'll be blown away. The story is simple, sure. But simple doesn't mean bad. It tells a great story regardless of if it has been told before. It's still a fantastic story of family and living with the herd. The exploration of Earth's beauty through Pandora is breathtaking. If you ask me, this is like going on the Soarin' ride at Disney for 3 hours and 12 minutes, and add a great story on top of that. Simply a wonderful movie."
53,0,"Sep 3, 2023","This is by far the worst movie I've seen in recent history. Poorly written, poorly voice acted, boring clichéd script.

So Jake, now has a family, and they are basically more American then tribal, no respect, swear and everything...well don't **** guess **** humans are back, and the guys who you thought where dead in the last ****..they brought them all back. So Jake's family get challenged by a marine we thought was dead but is now a blue guy and his buddy's and they decide to go and hide with another tribe for some reason, so the war finds them (well done again Jake.. you really screwed everyone) and then cliche plot hole, cliche plot hole cliche plot hole happens, Jake blows up a ship then end. And this boring badly written nonsense lasts 3 hours. Only reason I can recommend is if you suffer from insomnia, you will fall asleep half way through."
54,0,"Sep 2, 2023",It's just the same move as the first one(but on islands instead of forests ) which was just a rip off of fren gully they could not even be bothered to write a new protagonist just used they same guys as last time
55,4,"Aug 29, 2023",Stunning visuals alone are not enough to make me enjoy a boring 3 hours long movie.
56,3,"Aug 26, 2023",Just way too long. So many unnecessary scenes.Could easily knock out 90 min of this. Hence just plain boring most of the time.
57,3,"Aug 4, 2023","Wow, what a waste of time. They completely disregarded the character development from the first movie and ignored the main plot (like the reason why people went to that planet in the first place. It's like someone went ""you know what? Forget about the first movie, instead of doing a sequel how about we just assume our spectators are simple folks and do what we think they will love"". Very boring and very long, i called it quits at the 2 hours mark
Looks good though."
58,6,"Aug 3, 2023","Truly just a CGI Tech Demo that goes for 3 hours, albiet visually impressive, this is essentially all the movie has going for it. Its a spectacle more than it is a film with an interesting narrative or any sense of reasonable pacing. Overbloated and far longer run time than it needed to be for the story which it's actually telling, could've been **** up in 90mins easily. Too many loop holes and stupid contrivances that services an abitrary plot as opposed to actually being grounded in believeability. Marginally, it's a somewhat above average film at absolute best."
59,7,"Jul 31, 2023","2009’s Avatar is itself a complete epic. A singular cinematic achievement with a beginning, middle, and end. I put my trust in the man to justify going back there, but what he’s given us here is a movie equal to Avatar in all technical departments—the action is huge, varied, uniformly outstanding, the special effects are awesome, even the writing, in the big scenes at least, matches the work done before—only, in the end, much less significant."
60,10,"Jul 29, 2023","Перед просмотром хотел освежить воспоминание, но в итоге посмотрел без освежение, и какие то моменты не помнил, но что самое интересное, после я посмотрел аватар 1 и все равно не понял откуда взялись некоторые герои.

В этот раз не получилось в кино сходить, но даже посмотрев его у себя на 4к мониторе, я был поражает уровнем графики, опять как 2009г, как и обещал Кэмерон, проработал водную сторону вопроса, выглядит все очень красиво, правдоподобно (правда то что человек на дне или нави, могут 5 минут еще жить без воздуха это конечно меня поразило).
Про сюжет ( не понял момента то что откуда у людей еще одна база на планете? Ее не тронули тогда? Похожа прям на ту ) А так вроде правильный сиквел, больше того что надо: Нави, воды, тема семьи).
3 часа, прошли не заметно, а вроде особо ничего то и не произошло, если так подумать, в конце битва, которая пошла не по плану злодеев. (зачем им сдался ГГ? И почему он ушел? Дали бы отпор опять! И теперь оказывается их привлекают не только материалы дорогие, а еще и сок китов.) Столько вопросов, ждем 3 аватар, благо на этот раз ждать не 13 лет, а 2г."
61,7,"Jul 20, 2023",This part 2 seemed more like an action flick than a movie with a deeper meaning.  I thought the ending suggested part 3 is on the way.
62,10,"Jul 10, 2023","LOVED it! And so excited they have announced they are making at least 5 movies! We get to see another whole part of Pandora. I was mesmerized the whole time. The new characters are all awesome. This movie will make you laugh, cry, and be in a state of wonder."
63,3,"Jul 7, 2023","Bad movie. The story is really bad, visual is bad, and the voice is also bad"
64,6,"Jul 4, 2023","Late to the party but finally got around to seeing Avatar: The Way of Water. It was... okay? I really didn't find it remarkable or special compared to the original. Too much retread of the original material, including the main villain. Too much spectacle for spectacle's sake. I was reminded of the way George Lucas kept adding more and more CGI to his original and prequel Star Wars films just because he could; Cameron appears to have done the same here. A lot of the grand sweeping shots or big CGI set pieces could have been cut by half and the impact on the overall movie would have been minimal. The visuals were stunning in 2009; Today we've been so innundated with CGI due to 15 years of superhero movies and other films that I don't think visuals alone could carry this movie. It needed both visuals and a decent story.

The writers couldn't even present a consistent story as to why the RDA came back to Pandora. First Edie Falco's General Ardmore character says they're back because Earth is dying and they need a new home for humanity, but then that makes a complete about face halfway through when Brendan Cowell's Scoresby character says they're REALLY there to harvest amrita from the whale-like Tulkun because it halts human aging. Which is it? Plus the whole idea of Dr. Grace's avatar having immaculate conception made my eyes roll -- especially since her offspring has magical planetary powers she can't explain which is treading us deep into ridiculous Star Wars sequel territory.

I liked the concept of the differences between sea and forest clans, including the stereotypes and fights between them. But, just as the first movie was so clearly built around a mashup of Native American stereotypes, the Metkayina were a blatantly obvious mash up of Polynesian and South Pacific stereotypes.

By the end, I found myself not caring if they ever make any more movies in this franchise. At least not movies focusing on the Sully clan. Those stories already feel oversaturated and we're only on movie two, 13 YEARS after the first. I'm more interested in the stand-alone, non-movie-tie-in Frontiers of Pandora game that's coming out later this year than I am in seeing any further movies starring Jake and Company."
65,4,"Jul 2, 2023",It's silly that this movie lasts 3 hours and the worst thing is that there were people who paid to see this boring thing in theaters.
