rating,date,review,reviewer
6,2022-12-25 12:49,1이 더 재미났어요. 볼거리는 많았는데쓸데없는 장면이 많아서 지루한 구간이 많았어요. . . 시간을 좀 줄여도될것같아요,gree****
10,2022-12-15 05:37,거대한 자연과 문화 그리고 타인과의 교감으로 깨우치는 가치는 가족의 소중함이며 어떤 고난과 역경이 닥칠때 가족은 위대한 힘을 발휘한다는 것을 깨닫게 된다.가족에 방점이 찍힌 홈드라마 그리고 돌비로 보니 시각적 신세계에 감탄하고 황홀하다.,jsa1****
6,2022-12-19 15:22,"오줌보를 참아야 지나갈 수 있는 길, 물의 길.",namu****
10,2022-12-14 12:56,그냥 미침 꼭 3d로 보고 화장실 컨트롤 꼭 하시길 한순간도 놓치면 안됨,eyec****
6,2022-12-15 12:55,영상미만 엄청난 영화... 중간에 몇번 졸은..?감동두 액션도 스토리도 별루인...,ljm7****
9,2022-12-14 23:51,전편과 비교해서 스토리 전개가 조금 지루한 느낌입니다.190분의 시간이 지루함없이 지나갔다는 느낌은 아니였어요...하지만 전작에비해 너무 아름다운 영상미가 돋보이고 감동적이였네요 극장에서 꼭 3D로 보시길 추천드려요,love****
10,2022-12-14 16:12,미친 퀄리티...보는 내내 감탄하며 봤음 영화관에서 봐야하는 영화,tndh****
9,2022-12-24 23:32,"아바타1 때는 결혼안한 청년이었고, 13년이 지나 아바타2를 보는 나는 어느새 아이 둘의 아빠가 되었고, 그래서인지 설리의 시간과 함께 했던 거 같고, 가족을 향한 메시지는 더더욱 와닿았다.. 오랜 시간 후의 속편도 꼭 나쁜 것은 아닌 거 같다..",jesu****
10,2022-12-18 09:00,이 미친 영상미는 극장에서 꼭 경험해야만한다.진짜 수중세계의 비주얼이 압권이다.아름답고 아름답고 또 아름다운 영화.,yena****
8,2022-12-14 12:31,후반이 좀 지루함. 스토리 여기서 더가는건 뇌절같은데.. 3.4.5 한다며? 걱정된다,saac****
10,2022-12-17 12:03,요즘 영화티켓값이 천정부지인데 되려 가성비 좋다고 느낄 정도의 영화. 꼭 3D로 볼 것. 스토리는 평이했지만 새로운 바다 속 광경은 끝내줬음. 다 커서 본 영화 중에 거의 유일하게 끝나고 박수 친 영화. 한국 코미디 영화도 재밌고 좋지만 그런 영화보고 웃고 감동받았던 내자신이 조금 부끄러워 질 정도. 13년 기다림이 아깝지 않은 영화. 강추합니다. 꼭 보세요.,pej0****
6,2022-12-24 17:24,시계만 20번은 본 듯. 졸려,isla****
10,2022-12-14 18:23,3D 영화 중 역대급 선명함이네요. 꼭 돌비관에서 감상하세요. 대세는 돌비시네마입니다.,misy****
10,2022-12-14 23:28,3시간이 후딱지나갔네,ohjs****
10,2022-12-15 21:07,아바타1 이랑 cg를 비교해보겠다던 나의 어리석은 생각,akir****
5,2022-12-25 23:14,A가 납치되면 B가 들어가고 다시 C가 들어가고A가나오면 다시들어가고제대로된 스토리가 없다,ght3****
10,2022-12-17 21:01,두 번 봤는데도 여전히 물 CG는 신기함을 넘어 경이로울 지경. 도대체 어떻게 만든건지 상상조차 되지 않는다.,ewai****
10,2022-12-14 12:11,레전드의 귀환 .  영상미 지립니다,nain****
10,2022-12-16 11:30,솔직히 이 영화를 보면서 그리고 끝나고나서도 느낀건 영화를 보고 온 느낌보다 마침 환상적인 꿈을꾸고 영화속의 나오는 세계를 3시간 좀 넘는 시간동안 여행을 하고 온 느낌이 강하게 들었던건 <아바타2>를 본 관객들이라면 똑같은 생각을 할것같다.,jeje****
10,2022-12-14 14:59,I see you.                                                                        나는 당신을 봅니다.,ang_****
10,2022-12-14 10:14,"제임스 카메론이 이제껏 그의 2에서 '실망'이란 단어를 준 적이 있던가? 에일리언2, 터미네이터2, 아바타2! 게임 셋!",pine****
10,2022-12-14 12:37,시각효과의 끝판왕...,blue****
10,2022-12-15 16:04,"세시간동안 전혀 지루함 못 느낌. 서사, 볼거리, 메시지 등 다 최고입니다",00mi****
7,2022-12-14 23:23,영상미 하나는 진짜 최고인 아바타. 지난 1편보다 다소 약한 액션씬바다/물 CG 처리는 정말 최고인데... 감독의 욕심이 너무 긴 영화시간을 만들어서 그게 참 아쉽다.,msh1****
4,2022-12-20 15:06,영상미 하나로 밀어붙이기엔 한계가 있음 13년전과 지금 관객 수준은 엄연히 다름 획기적인거 하나만 넣었어도 달랐을텐데 너무 아쉬움 해양생물 만드느라 시간이 그렇게 오래걸린건가,jung****
8,2022-12-14 11:21,2시간짜리 자연다큐와 1시간짜리 영화,zzkh****
6,2022-12-15 22:15,솔직히 한시간 정도는 덜어내도 충분할것같았음,wtcl****
8,2022-12-15 14:27,그러게요내용이없내요,kimb****
5,2022-12-14 18:51,"3시간이나 시간중에 덜 중요한 장면을 잘라내거나, 쓸데없이 시간잡아먹는 씬을 줄였다면 좀 덜 지루하게 봤을거같습니다. 마지막쯤에 진짜 가뜩이나 지루한데 굳이 이걸보고 있어야하나 싶었거든요.",vkdk****
10,2022-12-15 21:51,IMAX로 봐야 돈값 하는 영화,anot****
2,2022-12-23 12:33,와.... 개노잼... 스토리 진행방식이 너무 허접하고 개연성도 없이 스토리가 진행됨.제이크 설리는 자기 가족 지키겠다고 원래 부족을 떠났는데 결과는 남의 부족 마을을 다 뿌수는 결과를 만들어냄.그러고는 다시 떠난다고하네?ㅋㅋㅋ 어이가 없었음...,do01****
10,2022-12-14 13:03,일단 보세요그냥 보세요,qurt****
9,2022-12-14 23:46,진짜 미친 개쩌는 게임 영상을 본 느낌,bobo****
7,2022-12-17 17:36,영상미가 있다.영상미만 있다….,jayl****
10,2022-12-14 13:35,13년의기다림행복했다,tjdg****
8,2022-12-24 14:10,결국은 스토리가 중요하다는 걸 알려준다,jly4****
8,2022-12-14 22:26,이해 안되는 장면이 좀 있지만 영상미는 정말 예쁘네요,kiwo****
8,2022-12-19 00:02,개민폐가족 제이트 민폐,juan****
7,2022-12-21 17:40,1편에서 기술에 감동했지만 2편에서는 기술의 진보가 스토리의 미흡함을 커버할만큼은 아니었다. 각본은 1편보다 구려졌다. 납치와 구출의 반복,jung****
6,2022-12-24 19:25,"cg는 훌륭, 스토리는 글쎄..",cjs_****
8,2022-12-15 02:40,저는 1편이 더 좋았네요.지루함이 너무 큽니다,lds3****
10,2022-12-18 09:18,영화관의 필요성을 느낄수있다,ljb2****
10,2022-12-16 21:34,영상미도 미쳤는데 후반 액션 정말 잘만듦..,ljh2****
9,2022-12-14 17:42,영상미 10점 스토리 5점 어디 놀러간다 구경간다 생각하고 보면 엄청 재미있어요. 2편인데 1편보다 스케일이 많이 작아요.,ansg****
10,2022-12-17 14:07,1은 혼자서 2는 아이와 같이 봤네요.진짜 감동적이었습니다.,zm19****
8,2022-12-16 14:01,영상미는 좋았으나 스토리가 뻔해서 긴장감이 떨어져서 그런가 조조라서 피곤해서 그런가 졸면서 봤네요,dili****
4,2022-12-24 23:47,영상미 좋음 하지만 상향 평준화로 영상미의 가치는 떨어졌다. 스토리 전개는 별로다. 3시간 중 지루하기 짝이 없다. 스토리의 개연성이 떨어지고 왜 혼난 후 가치는 알겠다만 똑같은 연출의 반복이다.,kim5****
7,2022-12-14 17:34,"바다와 특이한 바다 생물들을 아름답게 담은 영상미는 더 할 나위 없이 좋았다. 하지만, 아름다운 CG만으로는 3시간이 넘는 시간 동안 지루하게 이어지는 진부하고 빈틈 많은 이야기의 틈을 채울 수 없음",osan****
10,2022-12-15 19:28,아바타 3시간이 너무 짧았다고 생각할 정도로연출 및 영상미 너무 압도되었습니다..왜 영화관이 존재해야하는지 느끼게 해준 영화,gang****
9,2022-12-15 12:41,"아바타 시즌 3을 위한 빌드업 때문인지 스토리는 평범했고, CG팀을 갈아넣은 비주얼을 보고 감탄 했습니다.",cdcd****
7,2022-12-24 06:03,개봉일날 봤었는데스토리는 루즈하고 영상미는 최고임잘 만든 다큐 보는 느낌?,choh****
9,2022-12-14 21:20,마지막 1점은 확장판이나 감독판을 위해 남겨두겠습니다. 영상미는 정말 경이롭고 압도적이며 황홀한 경험입니다.근데 서사는 1편보다 퇴보한게 아쉽습니다.약간 3편에서 뻥 터트리려고 일부러 빌드업 해나가는건가 싶기도 하고요.그래도 이 경험은 정말 시간과 돈이 안 아깝습니다. 꼭 경험하십시오,fran****
10,2022-12-18 19:27,사실 특별한 스토리 보다는 판도라 행성을 체험하고 온 듯한 기분이 들었다. 1편이 땅위의 세계를 본 거였다면 2편은 물의 세계를 구경하는 내용이 주를 이룬다. 관람 하는 내내 눈이 너무 황홀해서 그것만으로도 10점 만점중에 9.5점을 주었다ㅋ,jick****
10,2022-12-17 21:20,I SEE YOU....,kimj****
10,2022-12-14 23:08,진짜 이건 무조건 극장이 답이다 정말 감동적인 비쥬얼 ㅜ 아바타가 아바타했음...,shna****
8,2022-12-23 16:30,"시각적 효과는 볼만하나, 내용이 너무 진부함.",ffre****
10,2022-12-17 23:32,인간의 잔인함과 지혜를 동시에 볼수 있는 영화였습니다. 너무 재미있었고 한편으로는 많은 생각을 갖게 해주는 좋은 영화라고 생각합니다. 이런 영화는 정말 영화관에서 봐야합니다,ukie****
10,2022-12-18 01:17,CG로 봐야만 하는 명작 진짜 제작비가 어디에 쓰였는지 직관적으로 알수 있는 작품. 이작품을 보니 마블 최근 영화들의 CG수준이 진짜 바닥인걸 알게 해준다,htwo****
9,2022-12-14 23:20,영상미는 만점이지만 스토리는 실망스러움,rene****
10,2022-12-15 21:01,이건 깔수가 없다 ㅋㅋㅋㅋ,ssyb****
9,2022-12-17 01:21,영상은 대단한데 만점 주기에는 지루함이 존재함,pdhb****
9,2022-12-18 21:27,13년만에 돌아왔지만 13년동안 어떤 영화도 줄 수 없는 아바타만의 영화가 무엇인지 보여줌,evio****
10,2022-12-14 21:31,영화 보는 내내 너무 황홀했습니다영상미가 단연 압권이었는데 이런 영화를 극장에서 볼 수 있어서 너무 행복했어요,07_1****
10,2022-12-14 13:25,영상미 대박스토리 대박3시간 대박...,emun****
10,2022-12-15 23:27,이어 나올 속편들에는 어떤 생물들이 나올지 기대되는 스케일,pixo****
10,2022-12-14 15:14,영상미 미쳤다 3시간 순삭…13년동안 기다린 보람이 있음ㅠㅠㅠ 한번 더 보고싶을정도,qkrw****
10,2022-12-14 12:56,가족과 함께 볼수있는영화,rbfl****
10,2022-12-17 17:34,영화관이 존재하는 이유,iams****
10,2022-12-15 11:13,오랫동안 기다린 보람이 있는 영화. 너무 영상미가 뛰어나요,prim****
10,2022-12-15 14:39,진짜 이 영화는 꼭 영화관에서 봐야함. 영상미가 그냥 화면을 찢었다.,skdu****
10,2022-12-14 15:13,우주와 바다를 그리는 장면의 CG를 보며 CG의 엄청난 발전함을 알 수 있었다. 스토리가 다소 아쉽고 새로운 캐릭터의 매력은 떨어지나 그 이상으로 영상미는 최고이고 재미있다. 충분히 돈 내고 볼 만한 가치가 있는 영화이다.,chun****
10,2022-12-17 13:35,3시간이라 걱정했는데 전혀 지루하지 않고 영상미가 진짜 화려함,jjw4****
10,2022-12-15 16:10,스토리는 1편과 별다른 차이가 없는데 다른 차이점이 바로 3D가 주는 현장감입니다. 쉽게 말해 내셔널 지오그래픽 다큐를 관객이 눈 앞에서 직접 촬영하는 수준이라고 할까요? 암튼 이번 작품은 무조건 3D로 봐야합니다. 명심하세요.그리고 대전 사시는분들은 반드시 신세계백화점 메가박스 돌비시네마로 보세요.스크린  사이즈도 압도적이고 사운드 또한 미친 수준입니다. 그리고 안경 닦이 헝겁 챙겨가면 좋아요. (전 없어서 약간 뿌옇게 감상했네요.)결론 : 일반관이 아닌 특별관 3D로 관람할 것,jisa****
10,2022-12-15 08:36,너무너무좋았어요~3시간이길지않아요몰입감최고바로3편이나오면좋을텐데,k02s****
10,2022-12-18 19:04,"초반은 반가움 중반 스토리는 지루하지만 외계인 다큐보는 것처럼 신기한 비주얼에 버틸 수 있었음 마지막에는 뻔하지만 cg로 감동을 납득시켜 버려서,,, 납득 당하고 말았습니다 아바타 후속편들도 계속 보면서 눈호강하고 싶기 때문에 만점 드립니다 그냥 제작자들의 노고가 눈에 보임",jhee****
10,2022-12-18 04:22,"진짜.. 어떻게 이런 영화를 만들어내지? 끝도없이 존경스러워지는 지난 13년과 앞으로가 더 기대되는 아바타.. 아바타의 처음부터 과정들을 함께할 수 있어 몹시 영광입니다.. 다음 시즌도 당연히 기다려야겠다. 아니, 기다릴 수 밖에 없다.",with****
10,2022-12-17 00:23,192분이 지루하지 않았다.,niaw****
10,2022-12-14 21:33,흥행1위엔 이유가 있었던거임..,thgu****
10,2022-12-18 18:09,제작비 2조 6000억의 황홀함 안보면 손해다.,emp0****
10,2022-12-18 09:34,아바타1편 봤을때처럼 재밌게 봤습니다,dmse****
10,2022-12-17 21:56,진짜 13년 동안 기다린 보람이있어요. ㅎ이건 스포여서 말안하지만 감동적인 장면에서 눈물도 나왔네요 ㅠ진짜 거의뭐 190분이 엄청 짧게 느껴질 정도로 몰입감이 장난이 아닙니다 ㅋ다음 후속편도 너무 기대되네요.,lily****
9,2022-12-15 19:46,영화는 계속 진화한다는 걸 증명해냈다.,simy****
10,2022-12-18 00:42,다 필요없고 13년의 기다림이 아깝지 않다!,imag****
10,2022-12-16 20:54,어비스와 트루라이즈와 터미네이터 타이타닉을 한번에 보고싶다면 아바타2 ㅋㅋㅋㅋ,kmov****
10,2022-12-16 03:29,이 영화는 그냥 예술입니다... c.g도 정말 대단하고 영화 자체 영상미가 너무 아름다워서...어느순간 3시간이 쑥 사라졌네요...좀 전에 3D로 보고왔는데 3D아닌걸로 또 보고싶은 마음이 크네요...,ez_l****
10,2022-12-15 21:41,정말 경이롭네요...극장에서 꼭 보시길..,kmk1****
8,2022-12-15 19:23,넷플릭스야 너네는 이런 거 못하잖아,exce****
10,2022-12-14 19:50,그래픽과 영상미에 박수를 보냅니다ㅠㅠ,ddun****
10,2022-12-14 14:35,너무 감동적이고 영상도 좋았습니다~,suji****
10,2022-12-14 12:54,와… 이건 무조건 3D4D임 영화값 안아까움 영화관이 존재해야 하는 이유,cand****
8,2022-12-15 02:36,"전작에 비해 스토리가 아쉬웠다. A가 나오면 B, C는 D 이런 식으로 관객 스스로 생각해봄직한 요소가 전혀 없었다 성의없는 대본이라고 생각했다. 하지만…21세기 최고 수준, 이보다 더 완벽할 수 없는 황홀한 cg를 세시간 내내 감상했다. 20세기에 실제 연출을 바탕으로 타이타닉을 만들어낸 제임슨카메론. 21세기와서 그는 스스로의 작품을 오마주하여 100퍼센트 cg로 아바타2를 멋지게 구현했다. 먼 훗날 카메론은 아날로그와 디지털 각 분야의 탑티어로 종횡무진했던 감독으로 기억 될 것.",i_li****
10,2022-12-14 11:53,황홀한 영상미로 체험한 스크린 속 아쿠아리움,pon0****
10,2022-12-15 01:25,"바다 덕후, 해양생물 덕후, 밀리터리 덕후들은 진짜 행복사할 영화",chom****
10,2022-12-15 00:01,누가 영화관에 가야 할 이유를 묻거든 고개를 들어 이 영화를 보게 하라.,ds5a****
10,2022-12-17 14:37,절때 안본사람 없게해주세요 위대하신 어머니시여!,jyjd****
10,2022-12-14 12:51,역시 13년 존버하길 잘했다 명작,seeb****
10,2022-12-14 12:46,아니 별점깎는 사람들은 대체 뭐...? ㅈㄴ재미있는데???감독님 사랑합니다ㅜㅠㅜ,jehe****
8,2022-12-19 22:47,눈은 호강... 내용은 글세?,hotc****
10,2022-12-24 23:33,개인마다 차이는 있겠지만 난 너무 너무 재밌다 내 딱취향 ??,winm****
10,2022-12-18 19:16,역시 클라쓰는 영원하다,hm23****
10,2022-12-18 11:57,그냥 이런 cg 능력을 볼 수 있다는것에 너무 감사,ldbi****
10,2022-12-16 01:27,아이맥스로 봤는데 너무 좋았어요영상미 굿,ksg3****
10,2022-12-18 18:09,보는 내내 눈을 돌릴수가 없을정도로 환상적인 영상에 반했습니다3D로 관람하면서 이 영상정도의 영화가 있었을까 하는 생각을 했습니다 3편의 등장을 기다려야 겠습니다~^^,6838****
10,2022-12-16 23:12,저 원래 리뷰 안남기는데 남겨요 지금까지 영화보면서 후속편이 전편보다 좋았던건 처음이었어요 3D로 봤는데 영상미 최고.. 스토리도 너무 좋고 감동적인 부분도 많았어요ㅠㅠ 진짜 돈주고 볼만한 영화라고 생각합니다.. 명작,rema****
